date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:48	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Sep%202025%2008:24:50%20GMT	https://agrowealthcapitals.com/robots.txt		(from )
09:24:50	183207/183207	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Sep%202025%2008:24:50%20GMT	https://agrowealthcapitals.com/	C:/webby/agro/agrowealthcapitals.com/index.html	(from )
09:24:50	1217/1217	---M--	200	added ('OK')	image/avif	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/logo/cJvqHEOE1jX77ciAvRI4wuJUOMygTL.avif	C:/webby/agro/agrowealthcapitals.com/assets/upload/logo/cJvqHEOE1jX77ciAvRI4wuJUOMygTL.avif	(from https://agrowealthcapitals.com/)
09:24:50	192946/192946	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/css/bootstrap.css	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/css/bootstrap.css	(from https://agrowealthcapitals.com/)
09:24:51	1525/1525	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/css/style.css	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/css/style.css	(from https://agrowealthcapitals.com/)
09:24:51	20524/20524	---M-Z	200	added ('OK')	text/css	etag:W/%22502c-4Qg2ZeDmqlTlk1ozyP/0DbotmIM%22	https://cdn.jsdelivr.net/npm/intl-tel-input@23.7.3/build/css/intlTelInput.css	C:/webby/agro/cdn.jsdelivr.net/npm/intl-tel-input@23.7.3/build/css/intlTelInput.css	(from https://agrowealthcapitals.com/)
09:24:52	5060/5060	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/css/spop.min.css	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/css/spop.min.css	(from https://agrowealthcapitals.com/)
09:24:53	29999/29999	---M--	200	added ('OK')	image/gif	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/images/preloader.gif	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/images/preloader.gif	(from https://agrowealthcapitals.com/)
09:24:53	10616/10616	---M--	200	added ('OK')	image/png	date:Sun,%2017%20Nov%202024%2005:00:03%20GMT	https://agrowealthcapitals.com/assets/upload/logo/logo.png	C:/webby/agro/agrowealthcapitals.com/assets/upload/logo/logo.png	(from https://agrowealthcapitals.com/)
09:24:54	401/401	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/images/icons/icon-bar-two.png	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/images/icons/icon-bar-two.png	(from https://agrowealthcapitals.com/)
09:24:54	126467/126467	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Sep%202025%2008:24:55%20GMT	https://agrowealthcapitals.com/?a=about-us	C:/webby/agro/agrowealthcapitals.com/indexc3d7.html	(from https://agrowealthcapitals.com/)
09:24:55	119403/119403	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/images/banner/banner-bg-shape.png	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/images/banner/banner-bg-shape.png	(from https://agrowealthcapitals.com/)
09:24:56	33349/33349	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Sep%202025%2008:24:56%20GMT	https://agrowealthcapitals.com/?a=faq	C:/webby/agro/agrowealthcapitals.com/index38cd.html	(from https://agrowealthcapitals.com/)
09:24:56	183207/183207	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Sep%202025%2008:24:56%20GMT	https://agrowealthcapitals.com/?a=home	C:/webby/agro/agrowealthcapitals.com/indexbc14.html	(from https://agrowealthcapitals.com/)
09:24:56	112003/112003	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Sep%202025%2008:24:57%20GMT	https://agrowealthcapitals.com/?a=projects	C:/webby/agro/agrowealthcapitals.com/index8f03.html	(from https://agrowealthcapitals.com/)
09:24:56	30442/30442	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Sep%202025%2008:24:58%20GMT	https://agrowealthcapitals.com/?a=support	C:/webby/agro/agrowealthcapitals.com/index15a0.html	(from https://agrowealthcapitals.com/)
09:24:57	54014/54014	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/p9Ozgb3fT3ahqcVlBsUGmOdRjoM2BA.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/p9Ozgb3fT3ahqcVlBsUGmOdRjoM2BA.webp	(from https://agrowealthcapitals.com/)
09:24:57	29174/29174	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Sep%202025%2008:24:58%20GMT	https://agrowealthcapitals.com/?a=login	C:/webby/agro/agrowealthcapitals.com/indexc30b.html	(from https://agrowealthcapitals.com/)
09:24:57	11897/11897	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/images/banner/banner-bg-1.png	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/images/banner/banner-bg-1.png	(from https://agrowealthcapitals.com/)
09:24:57	32355/32355	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Sep%202025%2008:24:59%20GMT	https://agrowealthcapitals.com/?a=signup	C:/webby/agro/agrowealthcapitals.com/indexcca3.html	(from https://agrowealthcapitals.com/)
09:24:57	5512/5512	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/6ocDHikEi8KlQdhSaP6BTWl7Cw9EK6.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/6ocDHikEi8KlQdhSaP6BTWl7Cw9EK6.webp	(from https://agrowealthcapitals.com/)
09:24:58	776/776	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/Z1dZdGleCGfOJC5MiT56RlmjkCOqQh.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/Z1dZdGleCGfOJC5MiT56RlmjkCOqQh.webp	(from https://agrowealthcapitals.com/)
09:24:58	708/708	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/YvthcHNusZUVhfjfaFbZIMA8sMUT2O.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/YvthcHNusZUVhfjfaFbZIMA8sMUT2O.webp	(from https://agrowealthcapitals.com/)
09:24:58	964/964	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/htyGM9ZLIpn99snhQYu23JcDrlCU6c.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/htyGM9ZLIpn99snhQYu23JcDrlCU6c.webp	(from https://agrowealthcapitals.com/)
